County,Year,Deaths,State
Acadia Parish,2003,11, LA
Ada County,2003,17, ID
Adams County,2003,42, CO
Aiken County,2003,10, SC
Alachua County,2003,11, FL
Alameda County,2003,124, CA
Allegany County,2003,15, MD
Allegheny County,2003,197, PA
Anchorage Borough,2003,31, AK
Anderson County,2003,12, SC
Anderson County,2003,10, TN
Anne Arundel County,2003,41, MD
Anoka County,2003,11, MN
Arapahoe County,2003,45, CO
Ascension Parish,2003,11, LA
Atlantic County,2003,34, NJ
Baldwin County,2003,10, AL
Baltimore County,2003,157, MD
Baltimore city,2003,273, MD
Barnstable County,2003,21, MA
Bay County,2003,21, FL
Beaver County,2003,20, PA
Bedford County,2003,11, PA
Bell County,2003,15, KY
Benton County,2003,10, WA
Bergen County,2003,55, NJ
Berkeley County,2003,17, WV
Berks County,2003,27, PA
Bernalillo County,2003,144, NM
Bexar County,2003,163, TX
Bibb County,2003,13, GA
Blair County,2003,21, PA
Blount County,2003,14, TN
Boone County,2003,11, KY
Boone County,2003,11, MO
Bossier Parish,2003,16, LA
Boulder County,2003,20, CO
Brazoria County,2003,13, TX
Brevard County,2003,97, FL
Bristol County,2003,110, MA
Bronx County,2003,192, NY
Broward County,2003,230, FL
Brunswick County,2003,10, NC
Bucks County,2003,69, PA
Buncombe County,2003,22, NC
Burke County,2003,10, NC
Burlington County,2003,26, NJ
Butler County,2003,41, OH
Butler County,2003,13, PA
Butte County,2003,40, CA
Cabell County,2003,19, WV
Caddo Parish,2003,22, LA
Calcasieu Parish,2003,25, LA
Calhoun County,2003,15, MI
Cambria County,2003,20, PA
Camden County,2003,49, NJ
Campbell County,2003,13, KY
Carroll County,2003,23, MD
Catawba County,2003,17, NC
Cecil County,2003,13, MD
Charleston County,2003,16, SC
Chaves County,2003,18, NM
Cherokee County,2003,13, GA
Chesapeake city,2003,14, VA
Chester County,2003,16, PA
Chesterfield County,2003,12, VA
Citrus County,2003,16, FL
Clackamas County,2003,28, OR
Clark County,2003,20, IN
Clark County,2003,247, NV
Clark County,2003,11, OH
Clark County,2003,40, WA
Clay County,2003,16, FL
Clay County,2003,20, MO
Clayton County,2003,18, GA
Clermont County,2003,11, OH
Cleveland County,2003,12, NC
Cleveland County,2003,15, OK
Cobb County,2003,34, GA
Cochise County,2003,11, AZ
Coconino County,2003,11, AZ
Collier County,2003,29, FL
Collin County,2003,26, TX
Comal County,2003,10, TX
Contra Costa County,2003,64, CA
Cook County,2003,454, IL
Cumberland County,2003,26, ME
Cumberland County,2003,13, NC
Cumberland County,2003,14, NJ
Cuyahoga County,2003,99, OH
Dallas County,2003,199, TX
Dane County,2003,24, WI
Dauphin County,2003,10, PA
Davidson County,2003,18, NC
Davidson County,2003,72, TN
Davis County,2003,21, UT
DeKalb County,2003,39, GA
Delaware County,2003,18, IN
Delaware County,2003,75, PA
Denton County,2003,18, TX
Denver County,2003,107, CO
District of Columbia,2003,106, DC
Dona Ana County,2003,19, NM
Douglas County,2003,10, OR
DuPage County,2003,48, IL
Durham County,2003,14, NC
Duval County,2003,127, FL
East Baton Rouge Parish,2003,22, LA
Ector County,2003,15, TX
El Dorado County,2003,10, CA
El Paso County,2003,53, CO
El Paso County,2003,52, TX
Erie County,2003,16, PA
Escambia County,2003,27, FL
Essex County,2003,99, MA
Essex County,2003,108, NJ
Fairfax County,2003,28, VA
Fairfield County,2003,64, CT
Fayette County,2003,30, KY
Fayette County,2003,19, PA
Floyd County,2003,11, KY
Forsyth County,2003,20, NC
Fort Bend County,2003,11, TX
Franklin County,2003,74, OH
Frederick County,2003,10, MD
Fresno County,2003,84, CA
Fulton County,2003,75, GA
Galveston County,2003,27, TX
Gaston County,2003,29, NC
Genesee County,2003,34, MI
Gloucester County,2003,25, NJ
Greene County,2003,40, MO
Greene County,2003,15, OH
Greenville County,2003,32, SC
Guilford County,2003,29, NC
Gwinnett County,2003,21, GA
Hamilton County,2003,73, OH
Hamilton County,2003,28, TN
Hampden County,2003,50, MA
Hampshire County,2003,10, MA
Hancock County,2003,11, MS
Harford County,2003,37, MD
Harlan County,2003,13, KY
Harris County,2003,337, TX
Harrison County,2003,29, MS
Hartford County,2003,90, CT
Hawaii County,2003,11, HI
Henderson County,2003,13, NC
Hennepin County,2003,82, MN
Henrico County,2003,22, VA
Hernando County,2003,15, FL
Highlands County,2003,10, FL
Hillsborough County,2003,138, FL
Hillsborough County,2003,23, NH
Honolulu County,2003,62, HI
Horry County,2003,36, SC
Howard County,2003,17, MD
Hudson County,2003,47, NJ
Humboldt County,2003,38, CA
Indian River County,2003,10, FL
Ingham County,2003,14, MI
Iredell County,2003,12, NC
Jackson County,2003,48, MO
Jackson County,2003,23, MS
Jackson County,2003,17, OR
Jefferson County,2003,69, AL
Jefferson County,2003,50, CO
Jefferson County,2003,88, KY
Jefferson County,2003,13, MO
Jefferson County,2003,11, OH
Jefferson County,2003,16, TX
Jefferson Parish,2003,86, LA
Johnson County,2003,28, KS
Kalamazoo County,2003,11, MI
Kanawha County,2003,27, WV
Kent County,2003,10, DE
Kent County,2003,31, MI
Kent County,2003,22, RI
Kenton County,2003,31, KY
Kern County,2003,110, CA
King County,2003,205, WA
Kings County,2003,249, NY
Kitsap County,2003,23, WA
Knox County,2003,74, TN
Lackawanna County,2003,28, PA
Lafayette Parish,2003,24, LA
Lake County,2003,17, FL
Lake County,2003,37, IL
Lake County,2003,29, IN
Lancaster County,2003,25, PA
Lane County,2003,18, OR
Larimer County,2003,23, CO
Lawrence County,2003,10, PA
Lee County,2003,77, FL
Lehigh County,2003,33, PA
Leon County,2003,11, FL
Lexington County,2003,12, SC
Licking County,2003,11, OH
Litchfield County,2003,12, CT
Livingston Parish,2003,23, LA
Lorain County,2003,13, OH
