GISJOIN,STATE_CODE,COUNTY_CODE,COUNTY,STATE,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
G0100010,1,1,Autauga County,Alabama,46348,47458,47917,49039,49834,51413,52992,54571,54580,54590,55384,55982,56334
G0100030,1,3,Baldwin County,Alabama,151574,156688,162261,168154,172815,175965,179115,182265,182745,183226,195540,200111,203709
G0100050,1,5,Barbour County,Alabama,28805,28545,28302,29420,29736,28976,28216,27457,27463,27469,27092,26811,26649
G0100070,1,7,Bibb County,Alabama,21224,21290,21397,21307,21485,21961,22438,22915,22842,22769,22971,23104,23151
G0100090,1,9,Blount County,Alabama,54195,54973,54983,55708,56866,57018,57170,57322,57394,57466,57578,57680,57769
G0100110,1,11,Bullock County,Alabama,11330,11199,10968,10719,10966,10948,10931,10914,10846,10779,10736,10687,10630
G0100130,1,13,Butler County,Alabama,20765,20686,20354,20198,20243,20477,20712,20947,20838,20730,20793,20813,20779
G0100150,1,15,Calhoun County,Alabama,112097,111982,112054,112581,112808,114729,116650,118572,118203,117834,116736,115916,115620
G0100170,1,17,Chambers County,Alabama,35804,35557,35163,34767,34731,34559,34387,34215,34221,34228,34145,34084,34051
G0100190,1,19,Cherokee County,Alabama,24431,24456,24267,24485,24474,24979,25484,25989,25953,25917,26151,26317,26399
G0100210,1,21,Chilton County,Alabama,40996,41377,41482,41672,42362,42789,43216,43643,43627,43611,43816,43966,44046
G0100230,1,23,Choctaw County,Alabama,15351,15138,14473,14349,14178,14071,13965,13859,13848,13838,13779,13732,13700
G0100250,1,25,Clarke County,Alabama,27448,27371,26740,26729,26416,26221,26027,25833,25800,25768,25654,25560,25491
G0100270,1,27,Clay County,Alabama,14213,14056,13842,13772,13772,13825,13878,13932,13880,13828,13828,13815,13785
G0100290,1,29,Cleburne County,Alabama,14623,14471,14289,14467,14692,14785,14878,14972,14938,14905,14935,14949,14943
G0100310,1,31,Coffee County,Alabama,44500,45077,45179,45588,46806,47853,48900,49948,49957,49966,50494,50892,51128
G0100330,1,33,Colbert County,Alabama,54675,54728,54415,54432,54606,54546,54487,54428,54439,54451,54427,54412,54408
G0100350,1,35,Conecuh County,Alabama,13577,13413,13188,13309,13118,13154,13191,13228,13208,13188,13196,13197,13189
G0100370,1,37,Coosa County,Alabama,11573,11306,11001,10880,10783,11035,11287,11539,11422,11305,11372,11393,11356
G0100390,1,39,Covington County,Alabama,36929,36836,36613,36781,36804,37124,37444,37765,37784,37803,37972,38104,38188
G0100410,1,41,Crenshaw County,Alabama,13672,13649,13559,13688,13741,13796,13851,13906,13938,13971,14014,14054,14091
G0100430,1,43,Cullman County,Alabama,78498,79092,79368,79697,80602,80536,80471,80406,80404,80403,80811,81289,82005
G0100450,1,45,Dale County,Alabama,49332,49021,48281,47993,48263,48925,49588,50251,50190,50129,50430,50640,50737
G0100470,1,47,Dallas County,Alabama,45071,44715,43413,43210,42780,43126,43473,43820,43696,43572,43683,43735,43713
G0100490,1,49,DeKalb County,Alabama,66368,66928,66775,67111,68275,69219,70164,71109,71029,70949,71013,71065,71130
G0100510,1,51,Elmore County,Alabama,70623,71829,73303,75382,77459,78073,78688,79303,79316,79330,80902,80977,81468
G0100530,1,53,Escambia County,Alabama,38332,38256,37675,37530,37623,37855,38087,38319,38220,38122,38188,38213,38186
G0100550,1,55,Etowah County,Alabama,103119,103096,102528,102751,103216,103620,104025,104430,104373,104317,103931,103531,103057
G0100570,1,57,Fayette County,Alabama,18295,18185,18028,17765,17538,17439,17340,17241,17230,17219,17164,17120,17089
G0100590,1,59,Franklin County,Alabama,30817,30685,30527,30565,30627,30986,31345,31704,31684,31664,31833,31955,32017
G0100610,1,61,Geneva County,Alabama,25556,25562,25607,25749,25717,26074,26432,26790,26779,26769,26942,27069,27138
G0100630,1,63,Greene County,Alabama,9901,9697,9490,9153,9100,9081,9063,9045,9056,9067,9063,9063,9067
G0100650,1,65,Hale County,Alabama,18328,18228,17920,17883,18091,17314,16537,15760,15755,15750,15359,15064,14890
G0100670,1,67,Henry County,Alabama,16471,16535,16436,16505,16653,16869,17085,17302,17288,17275,17376,17448,17484
G0100690,1,69,Houston County,Alabama,91576,92914,93633,95204,97392,98777,100162,101547,101503,101459,103668,104193,104173
G0100710,1,71,Jackson County,Alabama,53929,53747,52977,53003,52796,52939,53083,53227,53253,53279,53364,53434,53485
G0100730,1,73,Jefferson County,Alabama,659191,658468,658638,659403,661477,660473,659469,658466,658465,658464,659479,660793,660367
G0100750,1,75,Lamar County,Alabama,15183,15017,14716,14441,14484,14510,14537,14564,14538,14513,14513,14507,14492
G0100770,1,77,Lauderdale County,Alabama,87112,87466,87499,87943,88522,89917,91313,92709,92618,92528,92797,93096,92596
G0100790,1,79,Lawrence County,Alabama,34529,34470,34316,33911,34151,34213,34276,34339,34243,34148,34131,34094,34032
G0100810,1,81,Lee County,Alabama,119148,120537,125272,127925,130791,133943,137095,140247,140592,140938,150933,154255,156993
G0100830,1,83,Limestone County,Alabama,68255,69202,69824,71730,73909,76866,79824,82782,83047,83313,88845,90787,91663
G0100850,1,85,Lowndes County,Alabama,13415,13154,12911,12740,12664,12209,11754,11299,11301,11304,11077,10907,10809
G0100870,1,87,Macon County,Alabama,23494,23164,22752,22547,22258,21989,21720,21452,21333,21214,21020,20845,20693
G0100890,1,89,Madison County,Alabama,289343,293598,299662,306017,313796,320801,327806,334811,334736,334661,346892,350299,353089
G0100910,1,91,Marengo County,Alabama,22204,22026,21411,21246,21265,21185,21106,21027,20968,20909,20840,20773,20709
G0100930,1,93,Marion County,Alabama,30256,30159,29509,29654,29501,29926,30351,30776,30708,30641,30819,30936,30976
G0100950,1,95,Marshall County,Alabama,84110,84767,85050,86247,87970,89653,91336,93019,93044,93070,94760,94636,94725
G0100970,1,97,Mobile County,Alabama,399943,400107,398343,401629,405234,407820,410406,412992,412644,412297,414079,415123,415395
G0100990,1,99,Monroe County,Alabama,23833,23698,23200,22968,22759,22862,22965,23068,23030,22993,23025,23040,23033
G0101010,1,101,Montgomery County,Alabama,222516,221802,222302,225286,225648,226886,228124,229363,229369,229376,226659,226189,226519
G0101030,1,103,Morgan County,Alabama,112856,112930,112814,113875,115148,116595,118042,119490,119410,119330,119787,119607,119565
G0101050,1,105,Perry County,Alabama,11685,11521,10841,10581,10726,10681,10636,10591,10558,10525,10486,10448,10412
G0101070,1,107,Pickens County,Alabama,20545,20345,19860,19735,19503,19584,19665,19746,19696,19646,19661,19660,19638
G0101090,1,109,Pike County,Alabama,29147,29423,29710,29957,30186,31090,31994,32899,32824,32750,33165,33457,33596
G0101110,1,111,Randolph County,Alabama,22389,22576,22486,22457,22389,22563,22738,22913,22878,22843,22913,22956,22966
G0101130,1,113,Russell County,Alabama,48998,49164,49059,49642,50227,51133,52040,52947,53442,53938,54639,55288,55873
G0101150,1,115,St. Clair County,Alabama,68590,70275,72025,74934,78515,80207,81900,83593,83561,83530,86308,86697,87074
G0101170,1,117,Shelby County,Alabama,159641,165463,170490,178289,183478,187347,191216,195085,195161,195237,204180,206655,208713
G0101190,1,119,Sumter County,Alabama,14202,14078,13641,13504,13269,13433,13598,13763,13716,13669,13728,13760,13759
G0101210,1,121,Talladega County,Alabama,80107,80157,79928,80072,80186,80887,81589,82291,82242,82194,81096,81322,80862
G0101230,1,123,Tallapoosa County,Alabama,40805,40774,40442,40701,40797,41070,41343,41616,41575,41534,41650,41726,41753
G0101250,1,125,Tuscaloosa County,Alabama,166178,167178,170979,175339,178998,184217,189436,194656,194455,194254,200821,202212,203976
G0101270,1,127,Walker County,Alabama,70132,69876,69203,68973,68655,68111,67567,67023,67019,67016,65998,65471,65294
