BUYER_COUNTY,BUYER_STATE,Year,MME,CALC_BASE_WT_IN_GM
ABBEVILLE,SC,2006,3136215.3893625,2506.084389575
ABBEVILLE,SC,2007,3232603.0168625,2623.718374575
ABBEVILLE,SC,2008,3070697.5442625,2574.677256175
ABBEVILLE,SC,2009,3827607.0649875,3110.779538325
ABBEVILLE,SC,2010,4612935.0124875,3695.5828483249998
ABBEVILLE,SC,2011,4833266.0175,3890.932455
ABBEVILLE,SC,2012,4835180.1675,3961.65298
ABBEVILLE,SC,2013,4846713.1575,3988.78507
ABBEVILLE,SC,2014,5095215.93,4202.03298
ABBEVILLE,SC,2015,5343645.225,4372.95985
ABBEVILLE,SC,2016,4532030.01,3768.74991
ABBEVILLE,SC,2017,4361486.535,3593.85841
ABBEVILLE,SC,2018,3951857.49,3239.58824
ABBEVILLE,SC,2019,3360917.205,2768.1065799999997
ACADIA,LA,2006,22401870.9498,17783.1614082
ACADIA,LA,2007,25694560.865325,20392.226823549998
ACADIA,LA,2008,24705688.42555,19756.0090887
ACADIA,LA,2009,28623476.6399625,22837.059009975
ACADIA,LA,2010,33043130.173575,25877.28478055
ACADIA,LA,2011,32570444.4947625,25591.751433175
ACADIA,LA,2012,27036162.537074998,21743.17288155
ACADIA,LA,2013,24211076.3325,19822.820895
ACADIA,LA,2014,21922188.682725,18181.96060515
ACADIA,LA,2015,18809389.2843,15303.243856199999
ACADIA,LA,2016,19403969.8515,15755.579951
ACADIA,LA,2017,17621896.1715,14225.691721
ACADIA,LA,2018,15623026.6875,12604.578425
ACADIA,LA,2019,13754181.96,11021.20171
ACCOMACK,VA,2006,4073851.376,3179.233584
ACCOMACK,VA,2007,4894526.0843625,3851.869789575
ACCOMACK,VA,2008,5453317.9232250005,4314.75363215
ACCOMACK,VA,2009,5832013.0538625,4525.595802575
ACCOMACK,VA,2010,7349634.9788625,5566.503852575
ACCOMACK,VA,2011,8496574.238625,6395.2519757499995
ACCOMACK,VA,2012,7979696.775,5979.38115
ACCOMACK,VA,2013,8126775.225,6035.9131
ACCOMACK,VA,2014,8861719.002037501,6480.218368025
ACCOMACK,VA,2015,9277388.7039,6712.7337026
ACCOMACK,VA,2016,10140386.2875,7274.343024999999
ACCOMACK,VA,2017,8081157.9225,5834.909935
ACCOMACK,VA,2018,6176898.465,4503.89499
ACCOMACK,VA,2019,5415260.3175,3971.335005
ADA,ID,2006,86952634.07245,72598.2480363
ADA,ID,2007,97841035.0984,78769.6348306
ADA,ID,2008,114737058.4180625,90969.86024137499
ADA,ID,2009,127040565.35895,100429.0672573
ADA,ID,2010,148342347.105075,119403.34068704999
ADA,ID,2011,166145524.03957498,133394.04827405
ADA,ID,2012,180746250.604275,143693.32068285
ADA,ID,2013,179184356.4111,141488.5648524
ADA,ID,2014,186428768.49975002,146090.92088649998
ADA,ID,2015,181162775.6694,141631.5164796
ADA,ID,2016,174186675.3627,135900.1843018
ADA,ID,2017,164685682.27560002,128241.4627204
ADA,ID,2018,140326640.115,109265.38049
ADA,ID,2019,120131896.05,93778.87512499999
ADAIR,IA,2006,1129828.425,889.83755
ADAIR,IA,2007,1077195.0,882.34475
ADAIR,IA,2008,1229739.107025,1010.47662135
ADAIR,IA,2009,1373040.0799875,1154.039003325
ADAIR,IA,2010,1376153.475,1165.7001
ADAIR,IA,2011,1487432.5125000002,1253.558075
ADAIR,IA,2012,1553273.775,1309.56025
ADAIR,IA,2013,1299617.9625,1112.809775
ADAIR,IA,2014,1228381.425,1040.69915
ADAIR,IA,2015,1191788.4675,1014.528005
ADAIR,IA,2016,1146215.5725,966.579385
ADAIR,IA,2017,1082880.81,913.71126
