COUNTY,STATE,Year,Death Rate,MME Rate
acadia,Louisiana,2003,0.0001857825668395,
ada,Idaho,2003,5.22302308576204e-05,
adams,Colorado,2003,0.0001101292707868,
aiken,South Carolina,2003,6.807212922813013e-05,
alachua,Florida,2003,4.961279468872482e-05,
alameda,California,2003,8.50043427621887e-05,
allegany,Maryland,2003,0.0002031694433157,
allegheny,Pennsylvania,2003,0.000156451520677,
anderson,South Carolina,2003,6.98421567257997e-05,
anderson,Tennessee,2003,0.0001389467833819,
anne arundel,Maryland,2003,8.115517463208004e-05,
anoka,Minnesota,2003,3.498694350880876e-05,
arapahoe,Colorado,2003,8.717399347938529e-05,
ascension,Louisiana,2003,0.0001302592158395,
atlantic,New Jersey,2003,0.0001288596301728,
baldwin,Alabama,2003,6.59743755525354e-05,
baltimore,Maryland,2003,0.0002025409210064,
baltimore city,Maryland,2003,0.0004243716811958,
barnstable,Massachusetts,2003,9.167703490275686e-05,
bay,Florida,2003,0.000135581839781,
beaver,Pennsylvania,2003,0.0001117224813563,
bedford,Pennsylvania,2003,0.0002198461077245,
bell,Kentucky,2003,0.0005019072475406,
benton,Washington,2003,6.498908183425184e-05,
bergen,New Jersey,2003,6.120420951425e-05,
berkeley,West Virginia,2003,0.0001989723662496,
berks,Pennsylvania,2003,6.982590075411973e-05,
bernalillo,New Mexico,2003,0.0002472268529566,
bexar,Texas,2003,0.0001111017201,
bibb,Georgia,2003,8.407654846366276e-05,
blair,Pennsylvania,2003,0.0001647472306775,
blount,Tennessee,2003,0.0001255368943965,
boone,Kentucky,2003,0.0001132141497102,
boone,Missouri,2003,7.849853707271819e-05,
bossier,Louisiana,2003,0.0001564807479779,
boulder,Colorado,2003,7.208064382431064e-05,
brazoria,Texas,2003,4.931321859791139e-05,
brevard,Florida,2003,0.000191792089466,
bristol,Massachusetts,2003,0.000201078512019,
bronx,New York,2003,0.0001406923234751,
broward,Florida,2003,0.0001330313329276,
brunswick,North Carolina,2003,0.000122538507726,
bucks,Pennsylvania,2003,0.0001125395111544,
buncombe,North Carolina,2003,0.0001031759431219,
burke,North Carolina,2003,0.0001117143687021,
burlington,New Jersey,2003,5.843471381598909e-05,
butler,Ohio,2003,0.0001195694333867,
butler,Pennsylvania,2003,7.231904939391074e-05,
